"Origin_city","Destination_city"
"Baton Rouge, LA","Reno, NV"
"South Bend, IN","Reno, NV"
"Shreveport, LA","Reno, NV"
"New Orleans, LA","Reno, NV"
"Springfield, MO","Reno, NV"
"Springfield, MO","Reno, NV"
"San Antonio, TX","Reno, NV"
"Minneapolis, MN","Reno, NV"
"New Orleans, LA","Reno, NV"
"Minneapolis, MN","Reno, NV"
"Minneapolis, MN","Reno, NV"
"San Antonio, TX","Reno, NV"
"Minneapolis, MN","Reno, NV"
"Minneapolis, MN","Reno, NV"
"San Antonio, TX","Reno, NV"
"Richmond, VA","Waco, TX"
"Allentown, PA","Waco, TX"
"Cleveland, OH","Waco, TX"
"Greensboro, NC","Waco, TX"
"Charleston, SC","Waco, TX"
"Greensboro, NC","Waco, TX"
"Washington, DC","Waco, TX"
"Raleigh, NC","Waco, TX"
"Roanoke, VA","Waco, TX"
"Hartford, CT","Waco, TX"
"Reno, NV","Waco, TX"
"Akron, OH","Waco, TX"
"Reno, NV","Waco, TX"
"Reno, NV","Waco, TX"
"Newark, NJ","Waco, TX"
"Newark, NJ","Waco, TX"
"Boston, MA","Waco, TX"
"Omaha, NE","Yuma, AZ"
"Fort Smith, AR","Yuma, AZ"
"Waco, TX","Akron, OH"
"Fort Lauderdale, FL","Akron, OH"
"Fort Lauderdale, FL","Akron, OH"
"El Paso, TX","Dover, DE"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Phoenix, AZ","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Houston, TX","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Orlando, FL","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"Los Angeles, CA","Fargo, ND"
"San Antonio, TX","Fargo, ND"
"Bakersfield, CA","Fargo, ND"
"San Francisco, CA","Fargo, ND"
"New York, NY","Fargo, ND"
"Harrisburg, PA","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Las Vegas, NV","Fargo, ND"
"Reno, NV","Fargo, ND"
"Newark, NJ","Fargo, ND"
"Boston, MA","Fargo, ND"
"Atlanta, GA","Fargo, ND"
"Brownsville, TX","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Orlando, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Tampa, FL","Flint, MI"
"Laredo, TX","Flint, MI"
"Laredo, TX","Flint, MI"
"Laredo, TX","Flint, MI"
"Fort Lauderdale, FL","Flint, MI"
"Fort Lauderdale, FL","Flint, MI"
"Monroe, LA","Logan, UT"
"Birmingham, AL","Logan, UT"
"College Station, TX","Logan, UT"
"Bangor, ME","Macon, GA"
"Bangor, ME","Macon, GA"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"El Paso, TX","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"El Paso, TX","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"El Paso, TX","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Detroit, MI","Miami, FL"
"Chicago, IL","Miami, FL"
"Chicago, IL","Miami, FL"
"Detroit, MI","Miami, FL"
"Abilene, TX","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Phoenix, AZ","Miami, FL"
"Killeen, TX","Miami, FL"
"Killeen, TX","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"Hartford, CT","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"Manchester, NH","Miami, FL"
"St. Louis, MO","Miami, FL"
"Des Moines, IA","Miami, FL"
"Harrisburg, PA","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"St. Louis, MO","Miami, FL"
"Worcester, MA","Miami, FL"
"St. Louis, MO","Miami, FL"
"Manhattan, KS","Miami, FL"
"Manhattan, KS","Miami, FL"
"Manhattan, KS","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Providence, RI","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Pittsburgh, PA","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Toledo, OH","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
"Newark, NJ","Miami, FL"
